द्रब्यशाहमध्ये,द्रब्यशाह,('SFX', '22', '0', 'मध्ये', '.')
एरीयलहरूबारे,एरीयल,('SFX', '18', '0', 'हरूबारे', '.')
एरीयलपछिकी,एरीयल,('SFX', '22', '0', 'पछिकी', '.')
एरीयलद्वारा,एरीयल,('SFX', '15', '0', 'द्वारा', '.')
एरीयलअघिदेखि,एरीयल,('SFX', '22', '0', 'अघिदेखि', '.')
मात्रासँगको,मात्रा,('SFX', '15', '0', 'सँगको', '.')
मात्राअघि,मात्रा,('SFX', '22', '0', 'अघि', '.')
मात्राजस्तै,मात्रा,('SFX', '22', '0', 'जस्तै', '.')
मात्राबारे,मात्रा,('SFX', '22', '0', 'बारे', '.')
मात्रामाथिका,मात्रा,('SFX', '22', '0', 'माथिका', '.')
पैर्‍होसँग,पैर्‍हो,('SFX', '15', '0', 'सँग', '.')
पैर्‍होपट्टि,पैर्‍हो,('SFX', '22', '0', 'पट्टि', '.')
पैर्‍होभन्दा,पैर्‍हो,('SFX', '22', '0', 'भन्दा', '.')
पैर्‍होतर्फ,पैर्‍हो,('SFX', '22', '0', 'तर्फ', '.')
पैर्‍होअनुसार,पैर्‍हो,('SFX', '22', '0', 'अनुसार', '.')
बोर्डहरूबारे,बोर्ड,('SFX', '18', '0', 'हरूबारे', '.')
बोर्डसँगको,बोर्ड,('SFX', '15', '0', 'सँगको', '.')
बोर्डबाहेक,बोर्ड,('SFX', '22', '0', 'बाहेक', '.')
बोर्डमात्र,बोर्ड,('SFX', '22', '0', 'मात्र', '.')
बोर्डहरूबीच,बोर्ड,('SFX', '18', '0', 'हरूबीच', '.')
करेलोतर्फ,करेलो,('SFX', '22', '0', 'तर्फ', '.')
करेलोसँगको,करेलो,('SFX', '15', '0', 'सँगको', '.')
करेलोअघि,करेलो,('SFX', '22', '0', 'अघि', '.')
करेलोभित्रका,करेलो,('SFX', '22', '0', 'भित्रका', '.')
करेलोभित्रै,करेलो,('SFX', '22', '0', 'भित्रै', '.')
नास्पातीसम्मको,नास्पाती,('SFX', '22', '0', 'सम्मको', '.')
नास्पातीसहित,नास्पाती,('SFX', '15', '0', 'सहित', '.')
नास्पातीपछिको,नास्पाती,('SFX', '22', '0', 'पछिको', '.')
नास्पातीसहित,नास्पाती,('SFX', '22', '0', 'सहित', '.')
नास्पातीतर्फ,नास्पाती,('SFX', '22', '0', 'तर्फ', '.')
कोपभाजनपछिका,कोपभाजन,('SFX', '22', '0', 'पछिका', '.')
कोपभाजनमाथि,कोपभाजन,('SFX', '22', '0', 'माथि', '.')
कोपभाजनप्रति,कोपभाजन,('SFX', '22', '0', 'प्रति', '.')
कोपभाजनद्वारा,कोपभाजन,('SFX', '15', '0', 'द्वारा', '.')
कोपभाजनभित्रको,कोपभाजन,('SFX', '22', '0', 'भित्रको', '.')
पर्वतबीच,पर्वत,('SFX', '22', '0', 'बीच', '.')
पर्वतअनुसार,पर्वत,('SFX', '22', '0', 'अनुसार', '.')
पर्वतझैँ,पर्वत,('SFX', '22', '0', 'झैँ', '.')
पर्वतसहितका,पर्वत,('SFX', '22', '0', 'सहितका', '.')
पर्वतअघिदेखि,पर्वत,('SFX', '22', '0', 'अघिदेखि', '.')
उचाल्नसक्छौ,उचाल्,('SFX', '41', '0', 'नसक्छौ', '्')
उचाल्नुहुँदा,उचाल्,('SFX', '41', '0', 'नुहुँदा', '्')
उचालिनौ,उचाल्,('SFX', '1', '्', 'िनौ', '्')
उचाल्नलाग्यो,उचाल्,('SFX', '41', '0', 'नलाग्यो', '्')
उचाल्नुपर्ला,उचाल्,('SFX', '41', '0', 'नुपर्ला', '्')
दम्कोको,दम्को,('SFX', '15', '0', 'को', '.')
दम्कोसहितको,दम्को,('SFX', '22', '0', 'सहितको', '.')
दम्कोमार्फत,दम्को,('SFX', '22', '0', 'मार्फत', '.')
दम्कोबाहेक,दम्को,('SFX', '22', '0', 'बाहेक', '.')
दम्कोकै,दम्को,('SFX', '22', '0', 'कै', '.')
घाँससम्ममा,घाँस,('SFX', '22', '0', 'सम्ममा', '.')
घाँसमात्र,घाँस,('SFX', '22', '0', 'मात्र', '.')
घाँसपछिको,घाँस,('SFX', '22', '0', 'पछिको', '.')
घाँसले,घाँस,('SFX', '15', '0', 'ले', '.')
घाँससहितका,घाँस,('SFX', '22', '0', 'सहितका', '.')
अभिलेखालयलगायतका,अभिलेखालय,('SFX', '22', '0', 'लगायतका', '.')
अभिलेखालयहरूका,अभिलेखालय,('SFX', '18', '0', 'हरूका', '.')
अभिलेखालयमाथि,अभिलेखालय,('SFX', '22', '0', 'माथि', '.')
अभिलेखालयहरूसँगको,अभिलेखालय,('SFX', '18', '0', 'हरूसँगको', '.')
अभिलेखालयहरू,अभिलेखालय,('SFX', '18', '0', 'हरू', '.')
ओछयानतर्फ,ओछयान,('SFX', '22', '0', 'तर्फ', '.')
ओछयानसँगका,ओछयान,('SFX', '15', '0', 'सँगका', '.')
ओछयानहरूद्वारा,ओछयान,('SFX', '18', '0', 'हरूद्वारा', '.')
ओछयानसित,ओछयान,('SFX', '15', '0', 'सित', '.')
ओछयानलाई,ओछयान,('SFX', '15', '0', 'लाई', '.')
झुप्पाभन्दापर,झुप्पा,('SFX', '22', '0', 'भन्दापर', '.')
झुप्पापछिका,झुप्पा,('SFX', '22', '0', 'पछिका', '.')
झुप्पाअनुसार,झुप्पा,('SFX', '22', '0', 'अनुसार', '.')
झुप्पामाथिको,झुप्पा,('SFX', '22', '0', 'माथिको', '.')
झुप्पाहरूबीच,झुप्पा,('SFX', '18', '0', 'हरूबीच', '.')
मकालुबारे,मकालु,('SFX', '22', '0', 'बारे', '.')
मकालुमार्फत,मकालु,('SFX', '22', '0', 'मार्फत', '.')
मकालुसहितका,मकालु,('SFX', '22', '0', 'सहितका', '.')
मकालुबीच,मकालु,('SFX', '22', '0', 'बीच', '.')
मकालुसमेत,मकालु,('SFX', '22', '0', 'समेत', '.')
ब्राम्हणकै,ब्राम्हण,('SFX', '22', '0', 'कै', '.')
ब्राम्हणसम्म,ब्राम्हण,('SFX', '22', '0', 'सम्म', '.')
ब्राम्हणपछिकी,ब्राम्हण,('SFX', '22', '0', 'पछिकी', '.')
ब्राम्हणपट्टि,ब्राम्हण,('SFX', '22', '0', 'पट्टि', '.')
ब्राम्हणमाथि,ब्राम्हण,('SFX', '22', '0', 'माथि', '.')
पसेरीपछिको,पसेरी,('SFX', '22', '0', 'पछिको', '.')
पसेरीले,पसेरी,('SFX', '15', '0', 'ले', '.')
पसेरीअनुसार,पसेरी,('SFX', '22', '0', 'अनुसार', '.')
पसेरीभित्रको,पसेरी,('SFX', '22', '0', 'भित्रको', '.')
पसेरीमा,पसेरी,('SFX', '15', '0', 'मा', '.')
शान्तिनगरसहितको,शान्तिनगर,('SFX', '22', '0', 'सहितको', '.')
शान्तिनगरदेखि,शान्तिनगर,('SFX', '22', '0', 'देखि', '.')
शान्तिनगरहरूसँगको,शान्तिनगर,('SFX', '18', '0', 'हरूसँगको', '.')
शान्तिनगरमाथिका,शान्तिनगर,('SFX', '22', '0', 'माथिका', '.')
शान्तिनगरसँगै,शान्तिनगर,('SFX', '15', '0', 'सँगै', '.')
किड्नीहरूको,किड्नी,('SFX', '18', '0', 'हरूको', '.')
किड्नीहरूप्रति,किड्नी,('SFX', '18', '0', 'हरूप्रति', '.')
किड्नीअघिदेखि,किड्नी,('SFX', '22', '0', 'अघिदेखि', '.')
किड्नीभित्रका,किड्नी,('SFX', '22', '0', 'भित्रका', '.')
किड्नीहरूलाई,किड्नी,('SFX', '18', '0', 'हरूलाई', '.')
आमसञ्चारसम्ममा,आमसञ्चार,('SFX', '22', '0', 'सम्ममा', '.')
आमसञ्चारजस्ता,आमसञ्चार,('SFX', '22', '0', 'जस्ता', '.')
आमसञ्चारसँग,आमसञ्चार,('SFX', '15', '0', 'सँग', '.')
आमसञ्चारसँगका,आमसञ्चार,('SFX', '15', '0', 'सँगका', '.')
आमसञ्चारजस्तै,आमसञ्चार,('SFX', '22', '0', 'जस्तै', '.')
पस्मिनापछिको,पस्मिना,('SFX', '22', '0', 'पछिको', '.')
पस्मिनामाथिबाट,पस्मिना,('SFX', '22', '0', 'माथिबाट', '.')
पस्मिनामाथिका,पस्मिना,('SFX', '22', '0', 'माथिका', '.')
पस्मिनाबीच,पस्मिना,('SFX', '22', '0', 'बीच', '.')
पस्मिनाले,पस्मिना,('SFX', '15', '0', 'ले', '.')
बालकुमारीभित्रमा,बालकुमारी,('SFX', '22', '0', 'भित्रमा', '.')
बालकुमारीसम्म,बालकुमारी,('SFX', '22', '0', 'सम्म', '.')
बालकुमारीसँगै,बालकुमारी,('SFX', '15', '0', 'सँगै', '.')
बालकुमारीसहितको,बालकुमारी,('SFX', '22', '0', 'सहितको', '.')
बालकुमारीमै,बालकुमारी,('SFX', '22', '0', 'मै', '.')
भलायोदेखि,भलायो,('SFX', '22', '0', 'देखि', '.')
भलायोभित्रको,भलायो,('SFX', '22', '0', 'भित्रको', '.')
भलायोपछिका,भलायो,('SFX', '22', '0', 'पछिका', '.')
भलायोद्वारा,भलायो,('SFX', '15', '0', 'द्वारा', '.')
भलायोअघि,भलायो,('SFX', '22', '0', 'अघि', '.')
निमित्तसहितका,निमित्त,('SFX', '22', '0', 'सहितका', '.')
निमित्तअघिदेखि,निमित्त,('SFX', '22', '0', 'अघिदेखि', '.')
निमित्तपछिकी,निमित्त,('SFX', '22', '0', 'पछिकी', '.')
निमित्तसँगै,निमित्त,('SFX', '15', '0', 'सँगै', '.')
निमित्तबारे,निमित्त,('SFX', '22', '0', 'बारे', '.')
परमेश्‍वरसहित,परमेश्‍वर,('SFX', '15', '0', 'सहित', '.')
परमेश्‍वरमाथिको,परमेश्‍वर,('SFX', '22', '0', 'माथिको', '.')
परमेश्‍वरले,परमेश्‍वर,('SFX', '15', '0', 'ले', '.')
परमेश्‍वरसित,परमेश्‍वर,('SFX', '15', '0', 'सित', '.')
परमेश्‍वरभित्र,परमेश्‍वर,('SFX', '22', '0', 'भित्र', '.')
बन्दीगृहप्रति,बन्दीगृह,('SFX', '22', '0', 'प्रति', '.')
बन्दीगृहहरूले,बन्दीगृह,('SFX', '18', '0', 'हरूले', '.')
बन्दीगृहबिना,बन्दीगृह,('SFX', '15', '0', 'बिना', '.')
बन्दीगृहभित्रका,बन्दीगृह,('SFX', '22', '0', 'भित्रका', '.')
बन्दीगृहपछि,बन्दीगृह,('SFX', '22', '0', 'पछि', '.')
इत्यादिबाहेक,इत्यादि,('SFX', '22', '0', 'बाहेक', '.')
इत्यादिसम्मका,इत्यादि,('SFX', '22', '0', 'सम्मका', '.')
इत्यादिकै,इत्यादि,('SFX', '22', '0', 'कै', '.')
इत्यादिप्रति,इत्यादि,('SFX', '22', '0', 'प्रति', '.')
इत्यादिपनि,इत्यादि,('SFX', '22', '0', 'पनि', '.')
कलुषमा,कलुष,('SFX', '15', '0', 'मा', '.')
कलुषझैँ,कलुष,('SFX', '22', '0', 'झैँ', '.')
कलुषलगायत,कलुष,('SFX', '22', '0', 'लगायत', '.')
कलुषलाई,कलुष,('SFX', '15', '0', 'लाई', '.')
कलुषमात्र,कलुष,('SFX', '22', '0', 'मात्र', '.')
लमिरहन्छिन्,लमि,('SFX', '43', '0', 'रहन्छिन्', '[िइ]')
लमिरहिनौ,लमि,('SFX', '43', '0', 'रहिनौ', '[िइ]')
लमिदिएका,लमि,('SFX', '43', '0', 'दिएका', '[िइ]')
लमिराख्दैनथ्यो,लमि,('SFX', '43', '0', 'राख्दैनथ्यो', '[िइ]')
लमिराख्थे,लमि,('SFX', '43', '0', 'राख्थे', '[िइ]')
क्षत्रीअघिदेखि,क्षत्री,('SFX', '22', '0', 'अघिदेखि', '.')
क्षत्रीमात्र,क्षत्री,('SFX', '22', '0', 'मात्र', '.')
क्षत्रीसम्बन्धी,क्षत्री,('SFX', '22', '0', 'सम्बन्धी', '.')
क्षत्रीहरूका,क्षत्री,('SFX', '18', '0', 'हरूका', '.')
क्षत्रीहरूद्वारा,क्षत्री,('SFX', '18', '0', 'हरूद्वारा', '.')
अंशुबिना,अंशु,('SFX', '15', '0', 'बिना', '.')
अंशुसम्म,अंशु,('SFX', '22', '0', 'सम्म', '.')
अंशुतिर,अंशु,('SFX', '22', '0', 'तिर', '.')
अंशुबीच,अंशु,('SFX', '22', '0', 'बीच', '.')
अंशुसहितको,अंशु,('SFX', '22', '0', 'सहितको', '.')
अखानोमाथिका,अखानो,('SFX', '22', '0', 'माथिका', '.')
अखानोभित्रै,अखानो,('SFX', '22', '0', 'भित्रै', '.')
अखानोमात्र,अखानो,('SFX', '22', '0', 'मात्र', '.')
अखानोसम्ममा,अखानो,('SFX', '22', '0', 'सम्ममा', '.')
अखानोसहितको,अखानो,('SFX', '22', '0', 'सहितको', '.')
दयेँरेतिर,दयेँरे,('SFX', '22', '0', 'तिर', '.')
दयेँरेबाट,दयेँरे,('SFX', '15', '0', 'बाट', '.')
दयेँरेपछिका,दयेँरे,('SFX', '22', '0', 'पछिका', '.')
दयेँरेमाथिका,दयेँरे,('SFX', '22', '0', 'माथिका', '.')
दयेँरेसँग,दयेँरे,('SFX', '15', '0', 'सँग', '.')
द्विपथबिना,द्विपथ,('SFX', '15', '0', 'बिना', '.')
द्विपथलगायतका,द्विपथ,('SFX', '22', '0', 'लगायतका', '.')
द्विपथपट्टि,द्विपथ,('SFX', '22', '0', 'पट्टि', '.')
द्विपथमाथिको,द्विपथ,('SFX', '22', '0', 'माथिको', '.')
द्विपथभित्रको,द्विपथ,('SFX', '22', '0', 'भित्रको', '.')
आकृष्टसम्मको,आकृष्ट,('SFX', '22', '0', 'सम्मको', '.')
आकृष्टजस्ता,आकृष्ट,('SFX', '22', '0', 'जस्ता', '.')
आकृष्टभन्दापर,आकृष्ट,('SFX', '22', '0', 'भन्दापर', '.')
आकृष्टभित्रमा,आकृष्ट,('SFX', '22', '0', 'भित्रमा', '.')
आकृष्टको,आकृष्ट,('SFX', '15', '0', 'को', '.')
ल्याबअघिदेखि,ल्याब,('SFX', '22', '0', 'अघिदेखि', '.')
ल्याबमाथि,ल्याब,('SFX', '22', '0', 'माथि', '.')
ल्याबसम्ममा,ल्याब,('SFX', '22', '0', 'सम्ममा', '.')
ल्याबमध्ये,ल्याब,('SFX', '22', '0', 'मध्ये', '.')
ल्याबसम्मका,ल्याब,('SFX', '22', '0', 'सम्मका', '.')
रोधनभन्दापर,रोधन,('SFX', '22', '0', 'भन्दापर', '.')
रोधनसहित,रोधन,('SFX', '15', '0', 'सहित', '.')
रोधनसम्बन्धी,रोधन,('SFX', '22', '0', 'सम्बन्धी', '.')
रोधनपछिको,रोधन,('SFX', '22', '0', 'पछिको', '.')
रोधनबीच,रोधन,('SFX', '22', '0', 'बीच', '.')
अर्धी,अर्धो,('SFX', '14', 'ो', 'ी', 'ो')
अर्धा,अर्धो,('SFX', '14', 'ो', 'ा', 'ो')
बाइबिलबिना,बाइबिल,('SFX', '15', '0', 'बिना', '.')
बाइबिलभित्रका,बाइबिल,('SFX', '22', '0', 'भित्रका', '.')
बाइबिलपनि,बाइबिल,('SFX', '22', '0', 'पनि', '.')
बाइबिलपछिकी,बाइबिल,('SFX', '22', '0', 'पछिकी', '.')
बाइबिलपछिको,बाइबिल,('SFX', '22', '0', 'पछिको', '.')
तादीदेखि,तादी,('SFX', '22', '0', 'देखि', '.')
तादीबाहेक,तादी,('SFX', '22', '0', 'बाहेक', '.')
तादीमात्र,तादी,('SFX', '22', '0', 'मात्र', '.')
तादीजस्तो,तादी,('SFX', '22', '0', 'जस्तो', '.')
तादीसहित,तादी,('SFX', '15', '0', 'सहित', '.')
बाजको,बाज,('SFX', '15', '0', 'को', '.')
बाजसम्मका,बाज,('SFX', '22', '0', 'सम्मका', '.')
बाजसम्मको,बाज,('SFX', '22', '0', 'सम्मको', '.')
बाजपछिकी,बाज,('SFX', '22', '0', 'पछिकी', '.')
बाजहरूप्रति,बाज,('SFX', '18', '0', 'हरूप्रति', '.')
टकटकीपनि,टकटकी,('SFX', '22', '0', 'पनि', '.')
टकटकीअघि,टकटकी,('SFX', '22', '0', 'अघि', '.')
टकटकीसहितका,टकटकी,('SFX', '22', '0', 'सहितका', '.')
टकटकीपछि,टकटकी,('SFX', '22', '0', 'पछि', '.')
टकटकीजस्ता,टकटकी,('SFX', '22', '0', 'जस्ता', '.')
पेटीमाथि,पेटी,('SFX', '22', '0', 'माथि', '.')
पेटीहरूदेखि,पेटी,('SFX', '18', '0', 'हरूदेखि', '.')
पेटीसम्मको,पेटी,('SFX', '22', '0', 'सम्मको', '.')
पेटीलगायत,पेटी,('SFX', '22', '0', 'लगायत', '.')
पेटीहरूबाट,पेटी,('SFX', '18', '0', 'हरूबाट', '.')
धुत्कारमाथिको,धुत्कार,('SFX', '22', '0', 'माथिको', '.')
धुत्कारअघिदेखि,धुत्कार,('SFX', '22', '0', 'अघिदेखि', '.')
धुत्कारजस्ता,धुत्कार,('SFX', '22', '0', 'जस्ता', '.')
धुत्कारभन्दा,धुत्कार,('SFX', '22', '0', 'भन्दा', '.')
धुत्कारपनि,धुत्कार,('SFX', '22', '0', 'पनि', '.')
धुलाइसमेत,धुलाइ,('SFX', '22', '0', 'समेत', '.')
धुलाइभित्रको,धुलाइ,('SFX', '22', '0', 'भित्रको', '.')
धुलाइसम्ममा,धुलाइ,('SFX', '22', '0', 'सम्ममा', '.')
धुलाइबारे,धुलाइ,('SFX', '22', '0', 'बारे', '.')
धुलाइभित्रै,धुलाइ,('SFX', '22', '0', 'भित्रै', '.')
गठिला,गठिलो,('SFX', '14', 'ो', 'ा', 'ो')
गठिली,गठिलो,('SFX', '14', 'ो', 'ी', 'ो')
बसाहाहरूमाथि,बसाहा,('SFX', '18', '0', 'हरूमाथि', '.')
बसाहाहरूसँगको,बसाहा,('SFX', '18', '0', 'हरूसँगको', '.')
बसाहातिर,बसाहा,('SFX', '22', '0', 'तिर', '.')
बसाहाभित्रमा,बसाहा,('SFX', '22', '0', 'भित्रमा', '.')
बसाहापछिको,बसाहा,('SFX', '22', '0', 'पछिको', '.')
मानववादकै,मानववाद,('SFX', '22', '0', 'कै', '.')
मानववादसँगको,मानववाद,('SFX', '15', '0', 'सँगको', '.')
मानववादकी,मानववाद,('SFX', '15', '0', 'की', '.')
मानववादले,मानववाद,('SFX', '15', '0', 'ले', '.')
मानववादभन्दापर,मानववाद,('SFX', '22', '0', 'भन्दापर', '.')
किलोका,किलो,('SFX', '15', '0', 'का', '.')
किलोमध्ये,किलो,('SFX', '22', '0', 'मध्ये', '.')
किलोदेखि,किलो,('SFX', '22', '0', 'देखि', '.')
किलोसहितको,किलो,('SFX', '22', '0', 'सहितको', '.')
किलोबाहेक,किलो,('SFX', '22', '0', 'बाहेक', '.')
खोतरिसक्नेछ,खोतर्,('SFX', '1', '्', 'िसक्नेछ', '्')
खोतर्दै,खोतर्,('SFX', '1', '0', 'दै/17X', '्')
खोतर्नसक्थ्यो,खोतर्,('SFX', '41', '0', 'नसक्थ्यो', '्')
खोतर्नुपरेर,खोतर्,('SFX', '41', '0', 'नुपरेर', '्')
खोतर्नुपर्छ,खोतर्,('SFX', '41', '0', 'नुपर्छ', '्')
अनुकरणीय,अनुकरण,('SFX', '34', '0', 'ीय', '.')
उथल-पुथलसँगको,उथल-पुथल,('SFX', '15', '0', 'सँगको', '.')
उथल-पुथलसहितका,उथल-पुथल,('SFX', '22', '0', 'सहितका', '.')
उथल-पुथलभित्र,उथल-पुथल,('SFX', '22', '0', 'भित्र', '.')
उथल-पुथलअनुसार,उथल-पुथल,('SFX', '22', '0', 'अनुसार', '.')
उथल-पुथलद्वारा,उथल-पुथल,('SFX', '15', '0', 'द्वारा', '.')
अभियन्ताका,अभियन्ता,('SFX', '15', '0', 'का', '.')
अभियन्तासहितको,अभियन्ता,('SFX', '22', '0', 'सहितको', '.')
अभियन्तामात्र,अभियन्ता,('SFX', '22', '0', 'मात्र', '.')
अभियन्ताअघि,अभियन्ता,('SFX', '22', '0', 'अघि', '.')
अभियन्तासँग,अभियन्ता,('SFX', '15', '0', 'सँग', '.')
कन्सोर्टमध्ये,कन्सोर्ट,('SFX', '22', '0', 'मध्ये', '.')
कन्सोर्टहरूमाथि,कन्सोर्ट,('SFX', '18', '0', 'हरूमाथि', '.')
कन्सोर्टसहित,कन्सोर्ट,('SFX', '22', '0', 'सहित', '.')
कन्सोर्टसम्मको,कन्सोर्ट,('SFX', '22', '0', 'सम्मको', '.')
कन्सोर्टहरूबारेको,कन्सोर्ट,('SFX', '18', '0', 'हरूबारेको', '.')
मेलोप्रति,मेलो,('SFX', '22', '0', 'प्रति', '.')
मेलोपछि,मेलो,('SFX', '22', '0', 'पछि', '.')
मेलोजस्तै,मेलो,('SFX', '22', '0', 'जस्तै', '.')
मेलोलाई,मेलो,('SFX', '15', '0', 'लाई', '.')
मेलोबारे,मेलो,('SFX', '22', '0', 'बारे', '.')
दक्षिणायनमाथिको,दक्षिणायन,('SFX', '22', '0', 'माथिको', '.')
दक्षिणायनबारे,दक्षिणायन,('SFX', '22', '0', 'बारे', '.')
दक्षिणायनसँग,दक्षिणायन,('SFX', '15', '0', 'सँग', '.')
दक्षिणायनअघिदेखि,दक्षिणायन,('SFX', '22', '0', 'अघिदेखि', '.')
दक्षिणायनबाहेक,दक्षिणायन,('SFX', '22', '0', 'बाहेक', '.')
खान्गीपट्टि,खान्गी,('SFX', '22', '0', 'पट्टि', '.')
खान्गीमध्ये,खान्गी,('SFX', '22', '0', 'मध्ये', '.')
खान्गीसहितका,खान्गी,('SFX', '22', '0', 'सहितका', '.')
खान्गीजस्तै,खान्गी,('SFX', '22', '0', 'जस्तै', '.')
खान्गीसम्मका,खान्गी,('SFX', '22', '0', 'सम्मका', '.')
भाषालाई,भाषा,('SFX', '15', '0', 'लाई', '.')
भाषाहरूसित,भाषा,('SFX', '18', '0', 'हरूसित', '.')
भाषामार्फत,भाषा,('SFX', '22', '0', 'मार्फत', '.')
भाषाकै,भाषा,('SFX', '22', '0', 'कै', '.')
भाषासहित,भाषा,('SFX', '15', '0', 'सहित', '.')
मोडिनौ,मोड्,('SFX', '1', '्', 'िनौ', '्')
मोडिएर,मोड्,('SFX', '1', '्', 'िएर/17X', '्')
मोड्यौँ,मोड्,('SFX', '1', '0', 'यौँ', '्')
मोडेनौँ,मोड्,('SFX', '1', '्', 'ेनौँ', '्')
मोडिएका,मोड्,('SFX', '1', '्', 'िएका/17X', '्')
वैजयन्तीसम्मका,वैजयन्ती,('SFX', '22', '0', 'सम्मका', '.')
वैजयन्तीसम्ममा,वैजयन्ती,('SFX', '22', '0', 'सम्ममा', '.')
वैजयन्तीद्वारा,वैजयन्ती,('SFX', '15', '0', 'द्वारा', '.')
वैजयन्तीसहित,वैजयन्ती,('SFX', '15', '0', 'सहित', '.')
वैजयन्तीसँगको,वैजयन्ती,('SFX', '15', '0', 'सँगको', '.')
खटियाहरूले,खटिया,('SFX', '18', '0', 'हरूले', '.')
खटियालगायतका,खटिया,('SFX', '22', '0', 'लगायतका', '.')
खटियाहरूको,खटिया,('SFX', '18', '0', 'हरूको', '.')
खटियाजस्ता,खटिया,('SFX', '22', '0', 'जस्ता', '.')
खटियासँगका,खटिया,('SFX', '15', '0', 'सँगका', '.')
हिल्याउँदैनथे,हिल्याउ,('SFX', '9', '0', 'ँदैनथे', 'उ')
हिल्याउँछ,हिल्याउ,('SFX', '9', '0', 'ँछ', 'उ')
हिल्याइरहेकी,हिल्याउ,('SFX', '9', 'उ', 'इरहेकी', 'उ')
हिल्याउँदिन,हिल्याउ,('SFX', '9', '0', 'ँदिन', 'उ')
हिल्याउनुपरेछ,हिल्याउ,('SFX', '42', '0', 'नुपरेछ', '[उ]')
जान्‍नेपछिको,जान्‍ने,('SFX', '22', '0', 'पछिको', '.')
जान्‍नेमाथिको,जान्‍ने,('SFX', '22', '0', 'माथिको', '.')
जान्‍नेमाथिका,जान्‍ने,('SFX', '22', '0', 'माथिका', '.')
जान्‍नेसित,जान्‍ने,('SFX', '15', '0', 'सित', '.')
जान्‍नेजस्ता,जान्‍ने,('SFX', '22', '0', 'जस्ता', '.')
जटामात्र,जटा,('SFX', '22', '0', 'मात्र', '.')
जटाअनुसार,जटा,('SFX', '22', '0', 'अनुसार', '.')
जटातिर,जटा,('SFX', '22', '0', 'तिर', '.')
जटाकी,जटा,('SFX', '15', '0', 'की', '.')
जटामाथि,जटा,('SFX', '22', '0', 'माथि', '.')
हीनयानपछिका,हीनयान,('SFX', '22', '0', 'पछिका', '.')
हीनयानकै,हीनयान,('SFX', '22', '0', 'कै', '.')
हीनयानसहित,हीनयान,('SFX', '22', '0', 'सहित', '.')
हीनयानभन्दापर,हीनयान,('SFX', '22', '0', 'भन्दापर', '.')
हीनयानसम्म,हीनयान,('SFX', '22', '0', 'सम्म', '.')
माझतर्फ,माझ,('SFX', '22', '0', 'तर्फ', '.')
माझलगायत,माझ,('SFX', '22', '0', 'लगायत', '.')
माझभन्दा,माझ,('SFX', '22', '0', 'भन्दा', '.')
माझबाहेक,माझ,('SFX', '22', '0', 'बाहेक', '.')
माझलाई,माझ,('SFX', '15', '0', 'लाई', '.')
तर्पणमात्र,तर्पण,('SFX', '22', '0', 'मात्र', '.')
तर्पणका,तर्पण,('SFX', '15', '0', 'का', '.')
तर्पणपट्टि,तर्पण,('SFX', '22', '0', 'पट्टि', '.')
तर्पणबिना,तर्पण,('SFX', '15', '0', 'बिना', '.')
तर्पणसँगै,तर्पण,('SFX', '15', '0', 'सँगै', '.')
मिस्रीलगायतका,मिस्री,('SFX', '22', '0', 'लगायतका', '.')
मिस्रीभित्रै,मिस्री,('SFX', '22', '0', 'भित्रै', '.')
मिस्रीबिना,मिस्री,('SFX', '15', '0', 'बिना', '.')
मिस्रीसहित,मिस्री,('SFX', '15', '0', 'सहित', '.')
मिस्रीजस्तै,मिस्री,('SFX', '22', '0', 'जस्तै', '.')
रामसिंहभित्र,रामसिंह,('SFX', '22', '0', 'भित्र', '.')
रामसिंहसित,रामसिंह,('SFX', '15', '0', 'सित', '.')
रामसिंहअनुसार,रामसिंह,('SFX', '22', '0', 'अनुसार', '.')
रामसिंहबाट,रामसिंह,('SFX', '15', '0', 'बाट', '.')
रामसिंहका,रामसिंह,('SFX', '15', '0', 'का', '.')
इन्जिनियरतिर,इन्जिनियर,('SFX', '22', '0', 'तिर', '.')
इन्जिनियरहरूप्रति,इन्जिनियर,('SFX', '18', '0', 'हरूप्रति', '.')
इन्जिनियरहरूबारेको,इन्जिनियर,('SFX', '18', '0', 'हरूबारेको', '.')
इन्जिनियरभित्रका,इन्जिनियर,('SFX', '22', '0', 'भित्रका', '.')
इन्जिनियरभन्दापर,इन्जिनियर,('SFX', '22', '0', 'भन्दापर', '.')
कुञ्जीपाटीहरूसँगको,कुञ्जीपाटी,('SFX', '18', '0', 'हरूसँगको', '.')
कुञ्जीपाटीसँगको,कुञ्जीपाटी,('SFX', '15', '0', 'सँगको', '.')
कुञ्जीपाटीमै,कुञ्जीपाटी,('SFX', '22', '0', 'मै', '.')
कुञ्जीपाटीतिर,कुञ्जीपाटी,('SFX', '22', '0', 'तिर', '.')
कुञ्जीपाटीहरूबारेको,कुञ्जीपाटी,('SFX', '18', '0', 'हरूबारेको', '.')
जुद्धलगायत,जुद्ध,('SFX', '22', '0', 'लगायत', '.')
जुद्धजस्तै,जुद्ध,('SFX', '22', '0', 'जस्तै', '.')
जुद्धअघि,जुद्ध,('SFX', '22', '0', 'अघि', '.')
जुद्धभित्रमा,जुद्ध,('SFX', '22', '0', 'भित्रमा', '.')
जुद्धतर्फ,जुद्ध,('SFX', '22', '0', 'तर्फ', '.')
